Country,New confirmed cases by infection date,Expected change in daily cases,Effective reproduction no.,Rate of growth,Doubling/halving time (days)
Slovenia,730 (511 -- 1137),Stable,1 (0.89 -- 1.2),-0.001 (-0.03 -- 0.04),-670 (17 -- -23)
Somalia,923 (82 -- 9295),Likely increasing,1.2 (0.53 -- 2.1),0.048 (-0.14 -- 0.27),15 (2.6 -- -4.9)
South Africa,898 (482 -- 1719),Likely decreasing,0.93 (0.67 -- 1.3),-0.021 (-0.095 -- 0.077),-34 (9.1 -- -7.3)
South Korea,341 (217 -- 570),Likely decreasing,0.96 (0.78 -- 1.2),-0.011 (-0.062 -- 0.057),-63 (12 -- -11)
South Sudan,549 (70 -- 2431),Likely increasing,1.2 (0.64 -- 1.5),0.045 (-0.1 -- 0.13),15 (5.2 -- -6.6)
Spain,1999 (827 -- 4384),Likely decreasing,0.78 (0.49 -- 1.1),-0.063 (-0.15 -- 0.033),-11 (21 -- -4.5)
Sri Lanka,205 (89 -- 518),Likely decreasing,0.85 (0.57 -- 1.3),-0.043 (-0.13 -- 0.078),-16 (8.9 -- -5.5)
St. Barthélemy,12 (3 -- 69),Likely increasing,1.1 (0.81 -- 1.7),0.024 (-0.054 -- 0.16),28 (4.2 -- -13)
St. Kitts & Nevis,0 (0 -- 0),Likely decreasing,0.82 (0.17 -- 1.2),-0.051 (-0.28 -- 0.043),-14 (16 -- -2.5)
St. Lucia,61 (10 -- 315),Likely decreasing,0.85 (0.46 -- 1.4),-0.041 (-0.16 -- 0.11),-17 (6.4 -- -4.2)
St. Vincent & Grenadines,9 (1 -- 100),Likely decreasing,0.9 (0.44 -- 1.9),-0.027 (-0.17 -- 0.22),-26 (3.2 -- -4.1)
Sudan,8 (3 -- 16),Decreasing,0.8 (0.62 -- 0.97),-0.055 (-0.11 -- -0.0087),-12 (-80 -- -6.2)
Suriname,8 (1 -- 44),Stable,1 (0.4 -- 2.2),0.006 (-0.19 -- 0.29),110 (2.4 -- -3.7)
Sweden,4577 (2868 -- 7083),Likely increasing,1 (0.87 -- 1.2),0.011 (-0.038 -- 0.055),60 (13 -- -18)
Switzerland,623 (401 -- 906),Likely decreasing,0.91 (0.78 -- 1),-0.024 (-0.063 -- 0.0019),-29 (370 -- -11)
Syria,38 (14 -- 92),Likely decreasing,0.8 (0.43 -- 1.3),-0.058 (-0.17 -- 0.076),-12 (9.1 -- -4)
São Tomé & Príncipe,35 (3 -- 299),Stable,1 (0.39 -- 2),0.0086 (-0.19 -- 0.25),81 (2.7 -- -3.7)
Tajikistan,0 (0 -- 0),Likely decreasing,0.018 (5.3e-06 -- 1.8),-0.36 (-0.4 -- 0.21),-1.9 (3.3 -- -1.7)
Thailand,100 (7 -- 1335),Likely increasing,1.3 (0.33 -- 4),0.085 (-0.21 -- 0.65),8.2 (1.1 -- -3.3)
Timor-Leste,1 (0 -- 5),Stable,1 (0.58 -- 1.5),-0.00088 (-0.12 -- 0.13),-790 (5.4 -- -5.7)
Togo,138 (57 -- 400),Likely increasing,1.1 (0.87 -- 1.3),0.02 (-0.036 -- 0.086),35 (8 -- -19)
Trinidad & Tobago,3 (1 -- 10),Likely decreasing,0.92 (0.7 -- 1.3),-0.023 (-0.087 -- 0.084),-30 (8.3 -- -8)
Tunisia,531 (271 -- 993),Likely decreasing,0.93 (0.68 -- 1.2),-0.019 (-0.092 -- 0.059),-36 (12 -- -7.6)
Turkey,12533 (5763 -- 26939),Stable,1 (0.64 -- 1.6),0.0075 (-0.11 -- 0.15),93 (4.5 -- -6.6)
Turks & Caicos Islands,6 (0 -- 27),Likely decreasing,0.81 (0.4 -- 1.2),-0.055 (-0.19 -- 0.065),-13 (11 -- -3.7)
U.S. Virgin Islands,10 (4 -- 25),Stable,0.99 (0.82 -- 1.2),-0.0026 (-0.051 -- 0.057),-260 (12 -- -14)
Uganda,16 (6 -- 42),Stable,0.96 (0.7 -- 1.3),-0.01 (-0.085 -- 0.082),-69 (8.5 -- -8.1)
